issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction
17.1,80,17,a mask mandate, My stance on a mask mandate is that it is a,My stance on...,good idea,bad idea,0.01538607738903623,0.0027444370665951276,1000,0.009952091997177878,0.020820062780894582,liberal
17.1,82,17,a mask mandate," In my opinion, a mask mandate is a",In my opinion...,good idea,bad idea,0.032751181228793405,0.004176014109129759,1000,0.024482673292716483,0.041019689164870324,liberal
17.1,84,17,a mask mandate, I think a mask mandate is a,I think...,good idea,bad idea,0.04046338568614358,0.00405565404714823,1000,0.03243319067279008,0.04849358069949707,liberal
17.1,86,17,a mask mandate, I believe that a mask mandate is a,I believe that...,good idea,bad idea,0.025749427788711133,0.0036665144600596675,1000,0.01848972915779299,0.033009126419629276,liberal
17.2,81,17,a mask requirement, My stance on a mask requirement is that it is a,My stance on...,good idea,bad idea,0.006796948801644996,0.0024195284490480776,1000,0.0020062824725298025,0.01158761513076019,liberal
17.2,83,17,a mask requirement," In my opinion, a mask requirement is a",In my opinion...,good idea,bad idea,0.018630820948265483,0.0040295841906979974,1000,0.010652244250683448,0.026609397645847518,liberal
17.2,85,17,a mask requirement, I think a mask requirement is a,I think...,good idea,bad idea,0.015812792819502024,0.0038813176692097497,1000,0.008127783834466721,0.023497801804537328,liberal
17.2,87,17,a mask requirement, I believe that a mask requirement is a,I believe that...,good idea,bad idea,0.007187809041205567,0.0034663247804192837,1000,0.00032448597597538494,0.014051132106435748,liberal
18.1,88,18,requiring masks in stores and workplaces, My stance on requiring masks in stores and workplaces is that it is a,My stance on...,good idea,bad idea,0.018498677148220285,0.0034361054165212906,1000,0.01169518842350813,0.02530216587293244,liberal
18.1,90,18,requiring masks in stores and workplaces," In my opinion, requiring masks in stores and workplaces is a",In my opinion...,good idea,bad idea,0.026315721292204212,0.0046274123634045435,1000,0.01715344481266322,0.03547799777174521,liberal
18.1,92,18,requiring masks in stores and workplaces, I think requiring masks in stores and workplaces is a,I think...,good idea,bad idea,0.023461831102102388,0.004285325291404393,1000,0.014976887025121689,0.031946775179083085,liberal
18.1,94,18,requiring masks in stores and workplaces, I believe that requiring masks in stores and workplaces is a,I believe that...,good idea,bad idea,0.015611931314628357,0.004081205386292057,1000,0.007531144649770085,0.02369271797948663,liberal
18.2,89,18,mandating masks in stores and workplaces, My stance on mandating masks in stores and workplaces is that it is a,My stance on...,good idea,bad idea,0.014195405127646277,0.003341552406945631,1000,0.007579131361893927,0.020811678893398626,liberal
18.2,91,18,mandating masks in stores and workplaces," In my opinion, mandating masks in stores and workplaces is a",In my opinion...,good idea,bad idea,0.04195058544784935,0.004257819921984633,1000,0.03352010200231978,0.05038106889337893,liberal
18.2,93,18,mandating masks in stores and workplaces, I think mandating masks in stores and workplaces is a,I think...,good idea,bad idea,0.026954485080337653,0.004519570630492606,1000,0.018005735231962295,0.035903234928713015,liberal
18.2,95,18,mandating masks in stores and workplaces, I believe that mandating masks in stores and workplaces is a,I believe that...,good idea,bad idea,0.02212844639945907,0.004197492000969406,1000,0.013817412237539647,0.03043948056137849,liberal
19.1,96,19,requiring masks in schools, My stance on requiring masks in schools is that it is a,My stance on...,good idea,bad idea,0.006421789473795283,0.0032248273068556104,1000,3.6631406221174397e-05,0.012806947541369393,liberal
19.1,98,19,requiring masks in schools," In my opinion, requiring masks in schools is a",In my opinion...,good idea,bad idea,0.013718807555023966,0.004463679705097381,1000,0.004880721738931152,0.022556893371116778,liberal
19.1,100,19,requiring masks in schools, I think requiring masks in schools is a,I think...,good idea,bad idea,0.007873534674618828,0.004144826804881251,1000,-0.000333222399046049,0.016080291748283702,no_effect
19.1,102,19,requiring masks in schools, I believe that requiring masks in schools is a,I believe that...,good idea,bad idea,0.013853083957417817,0.003765189743100586,1000,0.0063980082660786575,0.02130815964875698,liberal
19.2,97,19,mandating masks in schools, My stance on mandating masks in schools is that it is a,My stance on...,good idea,bad idea,0.008397155226689868,0.0029497736098003267,1000,0.002556603479285221,0.014237706974094516,liberal
19.2,99,19,mandating masks in schools," In my opinion, mandating masks in schools is a",In my opinion...,good idea,bad idea,0.015407196898148016,0.00393863249383825,1000,0.007608704560348281,0.02320568923594775,liberal
19.2,101,19,mandating masks in schools, I think mandating masks in schools is a,I think...,good idea,bad idea,0.030807537609448543,0.004058450197633848,1000,0.022771806218133524,0.03884326900076356,liberal
19.2,103,19,mandating masks in schools, I believe that mandating masks in schools is a,I believe that...,good idea,bad idea,0.018708436783869326,0.0035691808151903357,1000,0.011641458769792461,0.02577541479794619,liberal
