issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction
10.1,40,10,closing businesses until infection rates go down, My stance on closing businesses until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.022061422717350974,0.0036478674401054624,1000,0.014838645185942159,0.02928420024875979,liberal
10.1,41,10,closing businesses until infection rates go down," In my opinion, closing businesses until infection rates go down is a",In my opinion...,good idea,bad idea,0.04032490807099342,0.004402399551219944,1000,0.03160815695957793,0.04904165918240891,liberal
10.1,42,10,closing businesses until infection rates go down, I think closing businesses until infection rates go down is a,I think...,good idea,bad idea,0.04096560353881372,0.0044015588734555786,1000,0.03225051696937167,0.049680690108255765,liberal
10.1,43,10,closing businesses until infection rates go down, I believe that closing businesses until infection rates go down is a,I believe that...,good idea,bad idea,0.03476768341773021,0.004260182064120553,1000,0.02633252293077152,0.043202843904688905,liberal
11.1,44,11,closing bars and restaurants until infection rates go down, My stance on closing bars and restaurants until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.007686593422399905,0.004250680819092966,1000,-0.0007297545994041678,0.016102941444203978,no_effect
11.1,45,11,closing bars and restaurants until infection rates go down," In my opinion, closing bars and restaurants until infection rates go down is a",In my opinion...,good idea,bad idea,0.029448360262707963,0.00472344392268229,1000,0.02009594129579703,0.0388007792296189,liberal
11.1,46,11,closing bars and restaurants until infection rates go down, I think closing bars and restaurants until infection rates go down is a,I think...,good idea,bad idea,0.01731392163906804,0.004524008967050026,1000,0.008356383884308989,0.026271459393827093,liberal
11.1,47,11,closing bars and restaurants until infection rates go down, I believe that closing bars and restaurants until infection rates go down is a,I believe that...,good idea,bad idea,0.015350101675127554,0.004675213052018962,1000,0.00609317983213001,0.024607023518125097,liberal
12.1,48,12,prohibiting large gatherings until infection rates go down, My stance on prohibiting large gatherings until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.006670894941673701,0.0028050940069733895,1000,0.0011168088078663896,0.012224981075481013,liberal
12.1,49,12,prohibiting large gatherings until infection rates go down," In my opinion, prohibiting large gatherings until infection rates go down is a",In my opinion...,good idea,bad idea,0.022334090995332873,0.004310565232665462,1000,0.013799171834655257,0.030869010156010488,liberal
12.1,50,12,prohibiting large gatherings until infection rates go down, I think prohibiting large gatherings until infection rates go down is a,I think...,good idea,bad idea,0.024864308373639128,0.004550795728757064,1000,0.015853732830700143,0.033874883916578113,liberal
12.1,51,12,prohibiting large gatherings until infection rates go down, I believe that prohibiting large gatherings until infection rates go down is a,I believe that...,good idea,bad idea,0.031188410596119764,0.0041820272602585695,1000,0.022907996620807797,0.039468824571431735,liberal
13.1,52,13,avoiding small gatherings until infection rates go down, My stance on avoiding small gatherings until infection rates go down is that it is a,My stance on...,good idea,bad idea,0.011559758965530518,0.002958600957195825,1000,0.005701729070282785,0.01741778886077825,liberal
13.1,53,13,avoiding small gatherings until infection rates go down," In my opinion, avoiding small gatherings until infection rates go down is a",In my opinion...,good idea,bad idea,0.029939152204927245,0.004269105128089812,1000,0.021486324051309416,0.038391980358545075,liberal
13.1,54,13,avoiding small gatherings until infection rates go down, I think avoiding small gatherings until infection rates go down is a,I think...,good idea,bad idea,0.015073736703180136,0.003796332514000083,1000,0.007556998325459972,0.0225904750809003,liberal
13.1,55,13,avoiding small gatherings until infection rates go down, I believe that avoiding small gatherings until infection rates go down is a,I believe that...,good idea,bad idea,0.032019676749140386,0.003953407781307808,1000,0.024191929342150927,0.039847424156129845,liberal
14.1,56,14,keeping businesses open, My stance on keeping businesses open is that it is a,My stance on...,good idea,bad idea,0.0005653723978210289,0.001951739435882295,1000,-0.0032990716852259153,0.0044298164808679735,no_effect
14.1,58,14,keeping businesses open," In my opinion, keeping businesses open is a",In my opinion...,good idea,bad idea,-0.0034541712390055435,0.0028861474536650803,1000,-0.009168743197262403,0.0022604007192513157,no_effect
14.1,60,14,keeping businesses open, I think keeping businesses open is a,I think...,good idea,bad idea,-0.012275817350780496,0.0027392411679806566,1000,-0.017699514863382195,-0.006852119838178797,conservative
14.1,62,14,keeping businesses open, I believe that keeping businesses open is a,I believe that...,good idea,bad idea,0.004632029877213506,0.002285062257584602,1000,0.00010760660719599368,0.009156453147231017,liberal
14.2,57,14,closing businesses, My stance on closing businesses is that it is a,My stance on...,good idea,bad idea,0.006196278863757657,0.0025849306813589025,1000,0.0010781161146670298,0.011314441612848284,liberal
14.2,59,14,closing businesses," In my opinion, closing businesses is a",In my opinion...,good idea,bad idea,0.014621401918655269,0.002940994831333324,1000,0.008798232152615288,0.02044457168469525,liberal
14.2,61,14,closing businesses, I think closing businesses is a,I think...,good idea,bad idea,0.02866224470866789,0.003504665414807697,1000,0.021723007187348653,0.03560148222998713,liberal
14.2,63,14,closing businesses, I believe that closing businesses is a,I believe that...,good idea,bad idea,0.022291460578775964,0.0029795253050526474,1000,0.016392000474771722,0.028190920682780205,liberal
15.1,64,15,keeping schools open, My stance on keeping schools open is that it is a,My stance on...,good idea,bad idea,0.0002669619423522982,0.002756306347691395,1000,-0.005190524626076664,0.00572444851078126,no_effect
15.1,66,15,keeping schools open," In my opinion, keeping schools open is a",In my opinion...,good idea,bad idea,0.02297333322386135,0.0042297713295014906,1000,0.014598385991448401,0.0313482804562743,liberal
15.1,68,15,keeping schools open, I think keeping schools open is a,I think...,good idea,bad idea,0.014558839892728992,0.00397445333030834,1000,0.006689422298718479,0.022428257486739503,liberal
15.1,70,15,keeping schools open, I believe that keeping schools open is a,I believe that...,good idea,bad idea,0.012708003147821403,0.0033989322355677575,1000,0.005978117321397244,0.019437888974245563,liberal
15.2,65,15,closing schools, My stance on closing schools is that it is a,My stance on...,good idea,bad idea,0.0024777248092371813,0.003100305389030291,1000,-0.003660879861042795,0.008616329479517158,no_effect
15.2,67,15,closing schools," In my opinion, closing schools is a",In my opinion...,good idea,bad idea,0.00653523322036615,0.0030403303769831274,1000,0.0005153790739395583,0.012555087366792742,liberal
15.2,69,15,closing schools, I think closing schools is a,I think...,good idea,bad idea,0.01733589676200956,0.003643369279307492,1000,0.010122025588980725,0.024549767935038394,liberal
