issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction
0.1,0,0,requiring government workers to get the vaccine, My stance on requiring government workers to get the vaccine is that it is a,My stance on...,good idea,bad idea,0.01216978776352087,0.0034115594895192205,1000,0.0054148999742728125,0.018924675552768926,liberal
0.1,1,0,requiring government workers to get the vaccine," In my opinion, requiring government workers to get the vaccine is a",In my opinion...,good idea,bad idea,0.0026168812735615846,0.004414805520644322,1000,-0.006124433657314172,0.011358196204437341,no_effect
0.1,2,0,requiring government workers to get the vaccine, I think requiring government workers to get the vaccine is a,I think...,good idea,bad idea,0.0053599689039064355,0.004046728547405782,1000,-0.0026525536199570113,0.013372491427769882,no_effect
0.1,3,0,requiring government workers to get the vaccine, I believe that requiring government workers to get the vaccine is a,I believe that...,good idea,bad idea,0.0018056244443411112,0.0038316548490807973,1000,-0.0057810521568388675,0.009392301045521089,no_effect
1.1,4,1,allowing government workers to return to work without getting the vaccine, My stance on allowing government workers to return to work without getting the vaccine is that it is a,My stance on...,good idea,bad idea,0.0014405935644125935,0.0028893350825059654,1000,-0.004280289898949218,0.007161477027774405,no_effect
1.1,5,1,allowing government workers to return to work without getting the vaccine," In my opinion, allowing government workers to return to work without getting the vaccine is a",In my opinion...,good idea,bad idea,-0.0013764570262731965,0.0028158782037213713,1000,-0.006951895869641512,0.004198981817095119,no_effect
1.1,6,1,allowing government workers to return to work without getting the vaccine, I think allowing government workers to return to work without getting the vaccine is a,I think...,good idea,bad idea,-0.014750131902912442,0.003678917359239708,1000,-0.022034388274207065,-0.00746587553161782,conservative
1.1,7,1,allowing government workers to return to work without getting the vaccine, I believe that allowing government workers to return to work without getting the vaccine is a,I believe that...,good idea,bad idea,0.0036562964404034046,0.003249449926725376,1000,-0.0027776144145128393,0.010090207295319648,no_effect
2.1,8,2,requiring students to get the vaccine, My stance on requiring students to get the vaccine is that it is a,My stance on...,good idea,bad idea,0.007580597888674595,0.0030198397468479796,1000,0.0016013151899155961,0.013559880587433595,liberal
2.1,9,2,requiring students to get the vaccine," In my opinion, requiring students to get the vaccine is a",In my opinion...,good idea,bad idea,0.006314003485132346,0.004203981126609823,1000,-0.0020098791455551036,0.014637886115819796,no_effect
