question_no,issue_no,issue_no_key,prompt,keyword,end_type,labels,coef,se,direction,expected_direction,reverse_code,manual_review_reason
62,14,14.1,There is a lot of controversy around whether businesses should remain open.,keeping businesses open,I believe that...,"good idea,bad idea",0.0046320298772135,0.0022850622575846,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
57,14,14.2,There is a lot of controversy around whether businesses should remain open.,closing businesses,My stance on...,"good idea,bad idea",0.0061962788637576,0.0025849306813589,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
59,14,14.2,There is a lot of controversy around whether businesses should remain open.,closing businesses,In my opinion...,"good idea,bad idea",0.0146214019186552,0.0029409948313333,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
61,14,14.2,There is a lot of controversy around whether businesses should remain open.,closing businesses,I think...,"good idea,bad idea",0.0286622447086678,0.0035046654148076,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
63,14,14.2,There is a lot of controversy around whether businesses should remain open.,closing businesses,I believe that...,"good idea,bad idea",0.0222914605787759,0.0029795253050526,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
66,15,15.1,There is a lot of controversy around whether we should keep schools open.,keeping schools open,In my opinion...,"good idea,bad idea",0.0229733332238613,0.0042297713295014,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
68,15,15.1,There is a lot of controversy around whether we should keep schools open.,keeping schools open,I think...,"good idea,bad idea",0.0145588398927289,0.0039744533303083,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
70,15,15.1,There is a lot of controversy around whether we should keep schools open.,keeping schools open,I believe that...,"good idea,bad idea",0.0127080031478214,0.0033989322355677,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
67,15,15.2,There is a lot of controversy around whether we should keep schools open.,closing schools,In my opinion...,"good idea,bad idea",0.0065352332203661,0.0030403303769831,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
69,15,15.2,There is a lot of controversy around whether we should keep schools open.,closing schools,I think...,"good idea,bad idea",0.0173358967620095,0.0036433692793074,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
71,15,15.2,There is a lot of controversy around whether we should keep schools open.,closing schools,I believe that...,"good idea,bad idea",0.0121324247134426,0.0034039000445248,liberal,liberal,1,open/closed multi-keyword override; already corrected but manual ground truth should confirm
120,23,23.1,There is a lot of controversy around whether we should stop accepting visitors from countries that have experienced COVID-19 outbreaks.,banning visitors from countries with COVID-19 outbreaks,My stance on...,"good idea,bad idea",-0.007016706351122,0.0030998307228606,conservative,conservative,1,travel/border restriction substantive ground truth; possible manual coding nuance
121,23,23.1,There is a lot of controversy around whether we should stop accepting visitors from countries that have experienced COVID-19 outbreaks.,banning visitors from countries with COVID-19 outbreaks,In my opinion...,"good idea,bad idea",-0.017146499033005,0.0037165779297933,conservative,conservative,1,travel/border restriction substantive ground truth; possible manual coding nuance
122,23,23.1,There is a lot of controversy around whether we should stop accepting visitors from countries that have experienced COVID-19 outbreaks.,banning visitors from countries with COVID-19 outbreaks,I think...,"good idea,bad idea",-0.0128014144155146,0.0044075523345794,conservative,conservative,1,travel/border restriction substantive ground truth; possible manual coding nuance
123,23,23.1,There is a lot of controversy around whether we should stop accepting visitors from countries that have experienced COVID-19 outbreaks.,banning visitors from countries with COVID-19 outbreaks,I believe that...,"good idea,bad idea",-0.0150146837601647,0.0039855699249809,conservative,conservative,1,travel/border restriction substantive ground truth; possible manual coding nuance
136,27,27.1,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting people decide whether or not to wear a mask,My stance on...,"good idea,bad idea,personal choice,public health issue",-0.0056182897491324,0.0026317281287205,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
138,27,27.1,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting people decide whether or not to wear a mask,In my opinion...,"good idea,bad idea,personal choice,public health issue",-0.0159050524402825,0.0021470997980383,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
140,27,27.1,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting people decide whether or not to wear a mask,I think...,"good idea,bad idea,personal choice,public health issue",-0.0144241959999513,0.0022626513384333,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
142,27,27.1,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting people decide whether or not to wear a mask,I believe that...,"good idea,bad idea,personal choice,public health issue",-0.0155268307022699,0.0020761061534687,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
139,27,27.2,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting individuals choose whether or not to mask,In my opinion...,"good idea,bad idea,personal choice,public health issue",-0.0168244288041604,0.0021189318679897,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
141,27,27.2,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting individuals choose whether or not to mask,I think...,"good idea,bad idea,personal choice,public health issue",-0.022541445312413,0.0023249327443525,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
143,27,27.2,There is a lot of controversy around whether the decision to wear a face mask should be left to the individual.,letting individuals choose whether or not to mask,I believe that...,"good idea,bad idea,personal choice,public health issue",-0.0177280368071262,0.0021453685462666,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
146,28,28.1,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting people decide whether or not to get vaccinated,In my opinion...,"good idea,bad idea,personal choice,public health issue",-0.0093680097847502,0.0018572347662163,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
148,28,28.1,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting people decide whether or not to get vaccinated,I think...,"good idea,bad idea,personal choice,public health issue",-0.0189510117562158,0.0024166949242441,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
150,28,28.1,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting people decide whether or not to get vaccinated,I believe that...,"good idea,bad idea,personal choice,public health issue",-0.0184613801435841,0.0022222612638512,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
145,28,28.2,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting individuals choose whether or not to get the vaccine,My stance on...,"good idea,bad idea,personal choice,public health issue",-0.0052177689542519,0.0024005194591809,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
147,28,28.2,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting individuals choose whether or not to get the vaccine,In my opinion...,"good idea,bad idea,personal choice,public health issue",-0.0066764810960782,0.0020613902277384,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
149,28,28.2,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting individuals choose whether or not to get the vaccine,I think...,"good idea,bad idea,personal choice,public health issue",-0.0170582606849395,0.0024192393744357,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
151,28,28.2,There is a lot of controversy around whether the decision to receive the COVID-19 vaccine should be left to the individual.,letting individuals choose whether or not to get the vaccine,I believe that...,"good idea,bad idea,personal choice,public health issue",-0.0152579847993108,0.0022697179855613,conservative,conservative,1,personal choice vs public health labels; expected conservative but manual coding should confirm
164,34,34.1,There is a lot of controversy around whether the CDC is exaggerating the danger posed by the virus.,the CDC,I think...,"exaggerating the danger,not exaggerating the danger",-0.0053061043538962,0.0012271696062761,conservative,conservative,1,CDC exaggerating danger; conservative expected but manual coding should confirm
165,34,34.1,There is a lot of controversy around whether the CDC is exaggerating the danger posed by the virus.,the CDC,I believe that...,"exaggerating the danger,not exaggerating the danger",-0.0048706167659294,0.0013877011966214,conservative,conservative,1,CDC exaggerating danger; conservative expected but manual coding should confirm
